Core_id,Ranking,University,Country,City,Region,Score,logo
2239,751-800,Universidade Federal do Rio Grande Do Sul ,Brazil,Porto Alegre,Latin America,,https://www.topuniversities.com/sites/default/files/universidade-federal-do-rio-grande-do-sul_2239_small.jpg
547,751-800,Universidade de Santiago de Compostela,Spain,Santiago de Compostela,Europe,,https://www.topuniversities.com/sites/default/files/universidade-de-santiago-de-compostela_547_small.jpg
952,751-800,Universitas Padjadjaran (UNPAD),Indonesia,Bandung,Asia,,https://www.topuniversities.com/sites/default/files/universitas-padjadjaran_592560cf2aeae70239af4e3c_small.jpg
15012,751-800,Universitat Rovira i Virgili,Spain,Tarragona,Europe,,https://www.topuniversities.com/sites/default/files/universitat-rovira-i-virgili_592560cf2aeae70239af5826_small.jpg
171,751-800,University Duesseldorf,Germany,Düsseldorf,Europe,,https://www.topuniversities.com/sites/default/files/university-duesseldorf_171_small.jpg
157,751-800,University of Denver,United States,Denver,North America,,https://www.topuniversities.com/sites/default/files/university-of-denver_157_small.jpg
270,751-800,University of Houston,United States,Houston,North America,,https://www.topuniversities.com/sites/default/files/university-of-houston_270_small.jpg
771,751-800,University of Hyderabad,India,Hyderabad,Asia,,https://www.topuniversities.com/sites/default/files/university-of-hyderabad_592560cf2aeae70239af4d86_small.jpg
561,751-800,University of Siena,Italy,Siena,Europe,,https://www.topuniversities.com/sites/default/files/university-of-siena_561_small.jpg
1759,751-800,University of Windsor,Canada,Windsor,North America,,https://www.topuniversities.com/sites/default/files/university-of-windsor_592560cf2aeae70239af5162_small.jpg
38664,751-800,Université Côte d'Azur,France,Nice,Europe,,https://www.topuniversities.com/sites/default/files/universit-cte-dazur_5c056024094c9000617768e0_small.jpg
36574,751-800,Université de Lille,France,Lille,Europe,,https://www.topuniversities.com/sites/default/files/universit-de-lille_5ae6f2dbcb4de7615c381961_small.jpg
1758,751-800,Université de Sherbrooke,Canada,Sherbrooke,North America,,https://www.topuniversities.com/sites/default/files/universit-de-sherbrooke_592560cf2aeae70239af5161_small.jpg
2539,751-800,Université de Sousse,Tunisia,Sousse,Africa,,https://www.topuniversities.com/sites/default/files/universit-de-sousse_592560cf2aeae70239af546e_small.jpg
1461,801-1000,AGH University of Science and Technology,Poland,Krakow,Europe,,https://www.topuniversities.com/sites/default/files/agh-university-of-science-and-technology_1461_small.jpg
2149,801-1000,Karaganda Buketov University,Kazakhstan,Karaganda,Asia,,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg
23632,801-1000,"Adam Mickiewicz University, Poznań",Poland,Poznań,Europe,,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg
1205,801-1000,"Ain Shams University in Cairo (ASU, Cairo)",Egypt,Cairo,Africa,,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg
837,801-1000,Australian Catholic University,Australia,Melbourne,Oceania,,https://www.topuniversities.com/sites/default/files/australian-catholic-university_592560cf2aeae70239af4dc8_small.jpg
852,801-1000,Bangladesh University of Engineering and Technology,Bangladesh,Dhaka,Asia,,https://www.topuniversities.com/sites/default/files/bangladesh-university-of-engineering-and-technology_592560cf2aeae70239af4dd7_small.jpg
2020,801-1000,Beijing Foreign Studies University,China (Mainland),Beijing,Asia,,https://www.topuniversities.com/sites/default/files/beijing-foreign-studies-university_2020_small.jpg
